Portfolio,Ticker,Date,Open,High,Low,Close,Adj Close,Volume,Quantity,Market Value
Fund One,XOM,12/7/2020,41.419998,44.470001,40.439999,43.799999,43.799999,158835500,29980.28347,1313136.386
Fund One,AAPL,12/14/2020,122.599998,129.580002,121.540001,126.660004,126.660004,621866700,8707.62531,1102907.857
Fund One,GOOGL,12/14/2020,1770.719971,1789.800049,1715,1726.219971,1726.219971,9961400,612.3773789,1057098.061
Fund One,IBM,12/14/2020,125.32,126.57,123.440002,125.849998,125.849998,25280500,8745.694276,1100645.607
Fund One,INTC,12/14/2020,49.82,51.459999,47.110001,47.459999,47.459999,232957800,20897.79083,991809.1318
Fund One,KO,12/14/2020,53.650002,54.220001,52.619999,53.740002,53.740002,102323500,19949.34423,1072077.799
Fund One,MSFT,12/14/2020,213.100006,220.889999,212.240005,218.589996,218.589996,186710500,4636.812933,1013560.92
Fund One,PG,12/14/2020,137.020004,140.070007,135.770004,139.039993,138.20636,44660100,7105.054548,981963.7267
Fund One,TSLA,12/14/2020,619,695,605,695,695,417756300,2377.386273,1652283.46
Fund One,WMT,12/14/2020,147.699997,147.720001,144.860001,145.949997,145.949997,51565700,6977.096481,1018307.21
Fund One,XOM,12/14/2020,44.34,44.459999,42.060001,42.73,42.73,159909100,29980.28347,1281057.513
Fund One,AAPL,12/21/2020,125.019997,134.410004,123.449997,131.970001,131.970001,433310200,8707.62531,1149145.321
Fund One,GOOGL,12/21/2020,1709.130005,1744.109985,1694,1734.160034,1734.160034,4331500,612.3773789,1061960.376
Fund One,IBM,12/21/2020,123.970001,125.209999,121.720001,124.690002,124.690002,14906800,8745.694276,1090500.637
Fund One,INTC,12/21/2020,46.32,47.09,45.240002,47.07,47.07,120376700,20897.79083,983659.0143
Fund One,KO,12/21/2020,52.68,53.549999,51.98,53.439999,53.439999,34921900,19949.34423,1066092.935
Fund One,MSFT,12/21/2020,217.550003,225.630005,217.279999,222.75,222.75,89044300,4636.812933,1032850.081
Fund One,PG,12/21/2020,137.960007,138.429993,136.130005,137.720001,136.894287,20347900,7105.054548,972641.3764
Fund One,TSLA,12/21/2020,666.23999,668.5,614.22998,661.77002,661.77002,165799900,2377.386273,1573282.962
Fund One,WMT,12/21/2020,145.5,146.669998,142.300003,143.5,143.5,30879100,6977.096481,1001213.345
Fund One,XOM,12/21/2020,41.110001,42.389999,40.529999,41.599998,41.599998,76787300,29980.28347,1247179.732
Fund One,AAPL,12/28/2020,133.990005,138.789993,131.720001,132.690002,132.690002,440976000,8707.62531,1155414.82
Fund One,GOOGL,12/28/2020,1744.910034,1788.469971,1728,1752.640015,1752.640015,4473000,612.3773789,1073277.099
Fund One,IBM,12/28/2020,125.099998,126.599998,123.239998,125.879997,125.879997,14056900,8745.694276,1100907.969
Fund One,INTC,12/28/2020,47.189999,50.669998,46.490002,49.82,49.82,171751500,20897.79083,1041127.939
Fund One,KO,12/28/2020,53.849998,54.93,53.73,54.84,54.84,33977500,19949.34423,1094022.037
Fund One,MSFT,12/28/2020,224.449997,227.179993,219.679993,222.419998,222.419998,76535900,4636.812933,1031319.923
Fund One,PG,12/28/2020,138.149994,139.940002,137.389999,139.139999,138.305771,16189100,7105.054548,982670.0472
Fund One,TSLA,12/28/2020,674.51001,718.719971,655,705.669983,705.669983,147606300,2377.386273,1677650.131
Fund One,WMT,12/28/2020,144.039993,145.850006,142.850006,144.149994,144.149994,24611700,6977.096481,1005748.416
Fund One,XOM,12/28/2020,41.689999,42.549999,40.970001,41.220001,41.220001,90741800,29980.28347,1235787.314
Fund One,AAPL,1/4/2021,133.520004,133.610001,126.379997,132.050003,132.050003,610791200,8707.62531,1149841.948
Fund One,GOOGL,1/4/2021,1760,1799.359985,1696.099976,1797.829956,1797.829956,9084600,612.3773789,1100950.396
Fund One,IBM,1/4/2021,125.849998,131.880005,123.040001,128.529999,128.529999,28434100,8745.694276,1124084.077
Fund One,INTC,1/4/2021,49.889999,52.689999,49.330002,51.650002,51.650002,174496400,20897.79083,1079370.938
Fund One,KO,1/4/2021,54.27,54.630001,49.52,51.080002,51.080002,167559100,19949.34423,1019012.543
Fund One,MSFT,1/4/2021,222.529999,223,211.940002,219.619995,219.619995,147534500,4636.812933,1018336.833
Fund One,PG,1/4/2021,139.660004,141.039993,136.270004,138.789993,137.957855,40569200,7105.054548,980198.0851
Fund One,TSLA,1/4/2021,719.460022,884.48999,717.190002,880.02002,880.02002,252137800,2377.386273,2092147.516
Fund One,WMT,1/4/2021,144.300003,148.100006,144.279999,146.630005,146.630005,41871800,6977.096481,1023051.692
Fund One,XOM,1/4/2021,41.450001,45.82,41,45.459999,45.459999,166440900,29980.28347,1362903.656
Fund One,AAPL,1/11/2021,129.190002,131.449997,126.860001,127.139999,127.139999,483029100,8707.62531,1107087.473
Fund One,GOOGL,1/11/2021,1777.02002,1784.380005,1711.709961,1727.619995,1727.619995,7421400,612.3773789,1057955.404
Fund One,IBM,1/11/2021,127.949997,130.160004,126.459999,128.389999,128.389999,29438100,8745.694276,1122859.679
Fund One,INTC,1/11/2021,51.290001,60.25,51.25,57.580002,57.580002,321834200,20897.79083,1203294.838
Fund One,KO,1/11/2021,50.619999,50.860001,48.529999,48.700001,48.700001,115383800,19949.34423,971533.0838
Fund One,MSFT,1/11/2021,218.470001,218.910004,212.029999,212.649994,212.649994,127610700,4636.812933,986018.2424
Fund One,PG,1/11/2021,138.75,139.440002,134.660004,134.779999,133.971909,33582600,7105.054548,951877.7213
Fund One,TSLA,1/11/2021,849.400024,868,803.619995,826.159973,826.159973,209181200,2377.386273,1964101.379
Fund One,WMT,1/11/2021,146,149.929993,143.669998,144.639999,144.639999,41575900,6977.096481,1009167.228
Fund One,XOM,1/11/2021,45.040001,51.080002,44.75,47.889999,47.889999,182092400,29980.28347,1435755.745
Fund One,AAPL,1/18/2021,127.779999,132.490005,126.940002,132.029999,132.029999,195076800,8707.62531,1149667.761
Fund One,GOOGL,1/18/2021,1743,1899.719971,1732.829956,1880.069946,1880.069946,5290600,612.3773789,1151312.306
Fund One,IBM,1/18/2021,129.279999,131.059998,128.089996,130.080002,130.080002,10996700,8745.694276,1137639.929
Fund One,INTC,1/18/2021,57.939999,59.220001,57.099998,58.669998,58.669998,64348400,20897.79083,1226073.346
Fund One,KO,1/18/2021,48.740002,49.040001,48.240002,48.68,48.68,52230300,19949.34423,971134.0769
Fund One,MSFT,1/18/2021,213.75,225.789993,212.630005,224.339996,224.339996,68258200,4636.812933,1040222.595
Fund One,PG,1/18/2021,135.699997,136.360001,131.259995,131.929993,131.138992,21691500,7105.054548,931749.6915
Fund One,TSLA,1/18/2021,837.799988,859.5,833,850.450012,850.450012,51032900,2377.386273,2021848.185
Fund One,WMT,1/18/2021,144.639999,145.660004,142.669998,145.509995,145.509995,15966400,6977.096481,1015237.274
Fund One,XOM,1/18/2021,48.450001,49.740002,48.349998,49.529999,49.529999,47275000,29980.28347,1484923.41
Fund Two,AMZN,10/19/2020,3212.5,3233.879883,3121.939941,3204.399902,3204.399902,12271400,312.0709121,1000000
Fund Two,FB,10/19/2020,279.559998,285.23999,275.040009,284.790009,284.790009,63253800,3511.359136,1000000
Fund Two,GOOG,10/19/2020,1573.329956,1642.359985,1571.630005,1641,1641,5377700,609.3845216,1000000
Fund Two,JNJ,10/19/2020,144.119995,147.470001,143.839996,145.240005,144.237732,14655400,6932.998641,1000000
Fund Two,MRK,10/19/2020,78.260002,80.620003,78.029999,79.830002,79.204529,22018300,12625.54064,1000000
Fund Two,NFLX,10/19/2020,501.029999,506.850006,481.350006,488.279999,488.279999,29331500,2048.005247,1000000
Fund Two,PFE,10/19/2020,35.436432,36.318787,35.132828,36.223907,35.855167,68786400,27889.98305,1000000
Fund Two,PG,10/19/2020,142.490005,144.339996,141.080002,142.380005,140.744873,14430700,7105.054548,1000000
Fund Two,TSLA,10/19/2020,422.700012,445.230011,407.380005,420.630005,420.630005,106080700,2377.386273,1000000
Fund Two,XOM,10/19/2020,33.509998,35.080002,33.02,34.16,33.355255,87879900,29980.28347,1000000
Fund Two,AMZN,10/26/2020,3198.73999,3291.659912,3019,3036.149902,3036.149902,30763400,312.0709121,947494.069
Fund Two,FB,10/26/2020,283.160004,285.230011,259.100006,263.109985,263.109985,140347800,3511.359136,923873.6497
Fund Two,GOOG,10/26/2020,1625.01001,1687,1514.619995,1621.01001,1621.01001,11248500,609.3845216,987818.4095
Fund Two,JNJ,10/26/2020,144.429993,144.770004,133.649994,137.110001,136.163834,34815200,6932.998641,944023.6761
Fund Two,MRK,10/26/2020,79.330002,80.230003,73.940002,75.209999,74.62072,48440100,12625.54064,942126.9332
Fund Two,NFLX,10/26/2020,487.029999,513.900024,472.209991,475.73999,475.73999,34734600,2048.005247,974317.9958
Fund Two,PFE,10/26/2020,35.92979,36.166985,32.827324,33.662239,33.319576,157668500,27889.98305,929282.41
Fund Two,PG,10/26/2020,141.5,143.339996,134.679993,137.100006,136.278,32213300,7105.054548,968262.6237
Fund Two,TSLA,10/26/2020,411.630005,430.5,379.109985,388.040009,388.040009,141543700,2377.386273,922520.9909
Fund Two,XOM,10/26/2020,33.610001,33.77,31.110001,32.619999,31.851534,186634300,29980.28347,954918.0182
Fund Two,AMZN,11/2/2020,3061.73999,3366.800049,2950.120117,3311.370117,3311.370117,29430900,312.0709121,1033382.293
Fund Two,FB,11/2/2020,264.600006,297.380005,257.339996,293.410004,293.410004,118206600,3511.359136,1030267.898
Fund Two,GOOG,11/2/2020,1628.160034,1793.640015,1616.030029,1761.75,1761.75,11494700,609.3845216,1073583.181
Fund Two,JNJ,11/2/2020,138.979996,143.190002,137.490005,142.25,141.268356,37673200,6932.998641,979413.3202
Fund Two,MRK,11/2/2020,76.449997,82.900002,75.639999,80.360001,79.73037,44650000,12625.54064,1006639.027
Fund Two,NFLX,11/2/2020,478.869995,518.72998,475,514.72998,514.72998,22844800,2048.005247,1054169.7
Fund Two,PFE,11/2/2020,34.089184,36.166985,33.719166,34.535103,34.183556,141735500,27889.98305,953378.7975
Fund Two,PG,11/2/2020,138.509995,144.070007,137.440002,143.229996,142.371246,29123000,7105.054548,1011555.469
Fund Two,TSLA,11/2/2020,394,440,392.299988,429.950012,429.950012,145636400,2377.386273,1022157.257
Fund Two,XOM,11/2/2020,33.139999,34.490002,32.529999,32.779999,32.007767,177123100,29980.28347,959601.9278
Fund Two,AMZN,11/9/2020,3231.030029,3289,3019.47998,3128.810059,3128.810059,26266500,312.0709121,976410.6088
Fund Two,FB,11/9/2020,289.869995,292.579987,264,276.950012,276.950012,92433100,3511.359136,972470.9549
Fund Two,GOOG,11/9/2020,1790.900024,1818.060059,1717.300049,1777.02002,1777.02002,8915800,609.3845216,1082888.495
Fund Two,JNJ,11/9/2020,148.429993,150.410004,144.919998,149.899994,148.86557,36724300,6932.998641,1032084.795
Fund Two,MRK,11/9/2020,84.779999,85.169998,79.029999,81.089996,80.454651,38815500,12625.54064,1015783.466
Fund Two,NFLX,11/9/2020,485.540009,496.519989,463.410004,482.839996,482.839996,32252700,2048.005247,988858.8453
Fund Two,PFE,11/9/2020,39.71537,39.838711,35.332069,36.641365,36.641365,456170100,27889.98305,1021927.049
Fund Two,PG,11/9/2020,146.149994,146.919998,137.149994,144.279999,143.414948,38171500,7105.054548,1018971.029
Fund Two,TSLA,11/9/2020,439.5,452.5,396.029999,408.5,408.5,122101100,2377.386273,971162.2926
Fund Two,XOM,11/9/2020,36.419998,38.009998,34.869999,36.080002,35.230026,220234500,29980.28347,1056206.166
